1,ade4
2,assertthat
3,bitops
4,brio
5,callr
6,caTools
7,cli
8,colorspace
9,crayon
10,desc
11,diffobj
12,digest
13,ellipsis
14,evaluate
15,fansi
16,farver
17,ggplot2
18,glue
19,gplots
20,gsalib
21,gtable
22,gtools
23,isoband
24,jsonlite
25,labeling
26,lifecycle
27,magrittr
28,munsell
29,pillar
30,pixmap
31,pkgbuild
32,pkgconfig
33,pkgload
34,plyr
35,praise
36,prettyunits
37,processx
38,ps
39,R6
40,RColorBrewer
41,Rcpp
42,rematch2
43,reshape
44,rlang
45,rprojroot
46,rstudioapi
47,scales
48,sp
49,testthat
50,tibble
51,utf8
52,vctrs
53,viridisLite
54,waldo
55,withr
56,coda
57,base
58,boot
59,class
60,cluster
61,codetools
62,compiler
63,datasets
64,doParallel
65,foreach
66,foreign
67,graphics
68,grDevices
69,grid
70,iterators
71,KernSmooth
72,lattice
73,MASS
74,Matrix
75,methods
76,mgcv
77,nlme
78,nloptr
79,nnet
80,parallel
81,rpart
82,spatial
83,splines
84,stats
85,stats4
86,survival
87,tcltk
88,tools
89,utils
90,yaml
