1,abcrf
2,ade4
3,AGHmatrix
4,anyLib
5,ape
6,ash
7,asreml
8,asremlPlus
9,assertthat
10,BAT
11,betareg
12,BH
13,BIEN
14,bigassertr
15,bigparallelr
16,bigstatsr
17,Biobase
18,BiocGenerics
19,BiocIO
20,BiocManager
21,BiocParallel
22,BiocVersion
23,biomod2
24,Biostrings
25,bitops
26,blob
27,bnlearn
28,brew
29,broom.helpers
30,car
31,carData
32,caTools
33,cellranger
34,circlize
35,clipr
36,clusterGeneration
37,combinat
38,commonmark
39,conflicted
40,corpcor
41,corrplot
42,cowplot
43,credentials
44,crosstalk
45,crul
46,curl
47,cvTools
48,dae
49,data.table
50,dbplyr
51,dbscan
52,dcov
53,DelayedArray
54,deldir
55,DEoptim
56,DEoptimR
57,Deriv
58,deSolve
59,devtools
60,DiagrammeR
61,diptest
62,dismo
63,DMRcaller
64,doBy
65,doSNOW
66,dotCall64
67,downlit
68,DT
69,dtplyr
70,earth
71,ECOSolveR
72,ellipse
73,emmeans
74,emplik
75,energy
76,ENMeval
77,estimability
78,expm
79,FactoMineR
80,fastcluster
81,fasterize
82,fastmatch
83,FD
84,fda
85,fds
86,ff
87,fields
88,flashClust
89,FlexDir
90,flexmix
91,flock
92,FNN
93,forcats
94,fpc
95,fundiversity
96,futile.logger
97,futile.options
98,gam
99,gargle
100,gaston
101,gbm
102,geiger
103,GENESPACE
104,GenomeInfoDb
105,GenomeInfoDbData
106,GenomicAlignments
107,GenomicRanges
108,geodata
109,geometry
110,geostats
111,gert
112,GGally
113,ggforce
114,ggfortify
115,ggplot2
116,ggpubr
117,ggrepel
118,ggsci
119,ggsignif
120,ggstats
121,ggtext
122,gh
123,gitcreds
124,glmnet
125,GlobalOptions
126,gmp
127,googledrive
128,googlesheets4
129,gridtext
130,gsl
131,haven
132,hdrcde
133,hillR
134,hitandrun
135,hms
136,httpcode
137,httpuv
138,httr2
139,hypervolume
140,ids
141,ini
142,interp
143,IRanges
144,jpeg
145,jsonlite
146,kableExtra
147,kernlab
148,ks
149,labelled
150,laeken
151,lambda.r
152,later
153,lattice
154,latticeExtra
155,leaflet
156,leaflet.providers
157,leaps
158,lidR
159,linprog
160,lmtest
161,locfit
162,lpSolve
163,magic
164,markdown
165,Matrix
166,MatrixGenerics
167,matrixStats
168,maxnet
169,mclust
170,mda
171,microbenchmark
172,miniUI
173,mixOmics
174,mixture
175,MM4LMM
176,mnormt
177,modelr
178,modeltools
179,multcompView
180,multicool
181,mvhtests
182,NADA
183,ncbit
184,nimble
185,nimbleNoBounds
186,nls2
187,nnls
188,oai
189,opdisDownsampling
190,optimParallel
191,osqp
192,palmerpenguins
193,patchwork
194,pbapply
195,pbkrtest
196,pbmcapply
197,pcaPP
198,pchc
199,pdist
200,permute
201,perry
202,phangorn
203,phytools
204,pixmap
205,pkgbuild
206,pkgdown
207,plotmo
208,plotrix
209,pls
210,polyclip
211,polynom
212,poolfstat
213,prabclus
214,PresenceAbsence
215,prettyunits
216,progress
217,promises
218,proto
219,qqconf
220,qqplotr
221,quadprog
222,R.methodsS3
223,R.oo
224,R.utils
225,ragg
226,rainbow
227,randomForest
228,rangeModelMetadata
229,ranger
230,rARPACK
231,raster
232,rasterVis
233,rbibutils
234,rcdd
235,rcmdcheck
236,RcppGSL
237,RcppParallel
238,RcppProgress
239,RcppRoll
240,RcppZiggurat
241,RCurl
242,Rdpack
243,readr
244,readxl
245,rebird
246,reformulas
247,regda
248,rematch
249,remotes
250,reprex
251,reshape
252,Rfast
253,Rfast2
254,rgbif
255,RhpcBLASctl
256,Rhtslib
257,ridigbio
258,rjson
259,rlas
260,rmio
261,Rnanoflann
262,robCompositions
263,robustbase
264,robustHD
265,roxygen2
266,RPostgreSQL
267,rrcov
268,Rsamtools
269,RSpectra
270,rstatix
271,rversions
272,rvertnet
273,rvest
274,Ryacas
275,S4Arrays
276,S4Vectors
277,S7
278,scales
279,scatterplot3d
280,scs
281,selectr
282,sessioninfo
283,sf
284,shiny
285,sn
286,snow
287,sommer
288,sourcetools
289,sp
290,spam
291,SparseArray
292,SpATS
293,spocc
294,stars
295,statgenGWAS
296,sticky
297,subplex
298,SummarizedExperiment
299,terra
